,centroid,match,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_Mean,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxis,original_shape_MajorAxis,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MinorAxis,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_Volume,seriesuid,subset
2,"(57.212765957446805, 304.17021276595744, 296.8510638297872)",False,-456.5999999999999,-7.105427357601002e-15,4164722.0,4.307159266931032,252.5,3.7118355772460294,154.0,-210.38297872340425,159.00316885468538,-203.0,-792.0,946.0,99.85098612125641,297.6761770497913,-0.89070725022405,4164722.0,0.05749207786328655,44350.108646446366,697.9438850248566,87391.05298115828,-1282.9515311512407,135.98185540889816,74.69507010458426,0.23135527027946523,6.804274245772221,2.6629827299624416,21.91142236323322,0.22924688268718502,0.13778124192164976,0.9574844591705063,0.8618601472611531,-0.841657395870508,0.9980277674872376,0.12688223292974787,26.07718552627459,0.0727642621923154,4.191858214696658,0.09998459330443137,52.15437105254918,3.0187894472961747,52.669231378370604,4.671402149457906,27.340425531914892,0.5817111815301041,0.20914440923494793,2.702127659574468,70.00995925758262,651.1276595744681,1.8936170212765957,1282.9148936170213,0.027939393626563738,0.026487800945151754,0.776595744680851,493.1808510638298,0.026124902774798748,2.6585070803387176,0.05721678859067493,70.49819844169946,650.4736355226643,1.0351170568561872,675.3013947199887,0.026835888278415147,0.026778844084413174,4.3380900586798585,45.408026755852845,0.9770975716155299,0.9885433715220949,0.011451214192234986,0.9912207357859534,644.266695723333,0.026764583035912677,2.1,0.0525,77.2875,641.35,1.525,1012.525,0.031691706577439666,0.03083889587711013,28.45,0.71125,0.86875,548.55625,0.030625693202027737,4.684183719779179,0.851063829787234,0.14437499999999998,0.024024141850888085,0.0956938664117259,1271.9791015113633,1.2177454056526213,41.568991685774265,0.3559077756186785,0.16379788273871518,2.3075247530082303,14.08763479982898,8.0,10.0,5.830951894845301,12.0,5.013898765335419,0.599172155047443,105.11493045575351,2.236487882037309,47.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217,1
3,"(80.29629629629629, 249.03703703703704, 169.2037037037037)",False,-652.0,-247.79999999999998,13048435.0,4.337677779700863,260.75,4.190722974713486,167.0,-458.68518518518516,142.9307270233196,-476.0,-707.0,874.0,104.82422931314224,491.56656231398125,0.930373376397384,13048435.0,0.05281207133058985,31245.586076817563,109.17984558174989,36168.952009146575,739.7276981878399,99.13872097660527,67.91266788634675,0.16812786275405628,6.6431291474875325,3.3203310467584264,21.694798432876176,0.22928850836594886,0.1426193427607152,0.9535589285267922,0.8547483832646058,-0.6783146951874779,0.9976724403717532,0.16910609046352246,10.037672022668552,0.025964797324211055,5.3336999661532145,0.03850338091890884,20.075344045337108,3.9179879793857375,41.762847215738006,4.675912270561786,24.37037037037037,0.4513031550068587,0.39780521262002744,2.8518518518518516,49.63237311385459,174.74074074074073,2.7037037037037037,344.77777777777777,0.20480357252392167,0.05206485754599955,0.6563786008230452,132.99279835390948,0.030135322834440818,2.8008621000407903,0.052929206196508136,49.512871156199154,176.10559928664256,1.0630274054469393,183.02447916370224,0.05648090109894856,0.05149759221256946,4.374999512871342,50.88437121147443,0.9602501003988,0.98005698005698,0.019874949800600054,0.9842431486382652,174.37587931737764,0.05025176499097469,2.2195121951219514,0.05413444378346222,48.0464009518144,193.21951219512195,2.048780487804878,305.4146341463415,0.12473493927853431,0.04756554161014656,24.024390243902438,0.5859607376561571,0.7920054200542005,165.95663956639567,0.03613227078383553,4.589020906951565,0.7592592592592593,0.314098750743605,0.0750937716186947,0.08436190949952764,997.8185483663025,0.9603035417534814,21.83909472262111,0.7934262534209129,0.40598170114543763,2.876163271848723,7.084465294208852,7.280109889280518,5.0990195135927845,7.211102550927978,8.12403840463596,5.621000755874615,0.7113743233557692,97.12143982154616,1.7985451818804845,54.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217,1
4,"(85.35375722543353, 198.16300578034682, 103.0878612716763)",False,-563.6,12.0,71027015.0,4.528478978908892,298.0,2.686568629901214,81.0,-188.66473988439307,179.67218416920045,-102.0,-741.0,822.0,129.1171063182866,286.55218734004484,-1.0132723653825437,71027015.0,0.05704834775635671,46517.771993718474,536.6240005580491,127874.77942102069,-2502.537643590662,230.0968233357094,69.85185434903737,0.5496064377277369,6.273344828669344,3.6484022947354195,19.108558658481915,0.2713330613639245,0.18843480599321952,0.9487131958355004,0.8588018200985794,-0.3218702765587987,0.9734681763965347,0.1950539844162347,22.271899445672354,0.006594266248026703,7.7877957721826,0.018755860715954267,44.543798891344714,5.425145664572588,74.98716942118668,6.37054998416086,204.92832369942195,0.23691135687794446,1.7154412108657153,49.346820809248555,74.56773831400982,602.0797687861271,7.705202312138728,5582.132947976878,0.05832483555780315,0.011011135738781168,0.38648783800610803,187.79812190666246,0.0046687110674835655,45.301204607492494,0.05530463313092242,75.12382945800158,594.6353400380099,1.2294720517536488,759.9492922356089,0.012922988604766036,0.011184931002619592,4.8017138107762225,746.2120007473529,0.904165331751603,0.9443308136949754,0.08396718754738036,0.9574637157831555,564.4884433029715,0.010787741123205786,14.841836734693878,0.03786182840483132,76.35256143273635,489.5204081632653,15.262755102040817,11781.216836734693,0.07825713230028318,0.012634871598823328,162.37244897959184,0.41421543107038733,0.6671992881055905,295.09746611068255,0.007842943329948317,6.356107928446229,0.4531791907514451,10.393527436484797,0.10635390677189677,0.009700122148474943,1291.053311874485,0.36941521035073643,5.677289375447878,0.9043538582742229,0.09204237816705574,2.409104902270666,26.17386632381631,26.0,27.073972741361768,27.51363298439521,27.964262908219126,23.67043699589703,0.35949214593865314,1221.2524733669518,1.4118525703664182,865.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217,1
5,"(86.0, 237.16463414634146, 112.45121951219512)",False,-242.5,36.500000000000085,3253011.0,3.7727761885761044,104.5,6.047092975363094,114.0,-70.21341463414635,86.37425639500297,-37.5,-525.0,639.0,46.12473372781066,140.83832193983733,-1.7578706511456281,3253011.0,0.09845330160618679,14905.509332242713,380.88627931641213,33093.357022374206,-1123.1386385989472,69.61359798100601,9.978901984969555,0.7402331288918456,2.363840356266723,2.6707073952250564,3.910512890862058,0.4276707761538827,0.3490368831532845,0.9860498356438365,0.9212525930501756,-0.3089210886138876,0.9418906121061371,0.34209979522493783,19.129995215313674,0.018305250161536425,6.225800623733211,0.04843744444504979,38.25999043062735,4.314794903201913,19.898124991493884,5.22662996013287,47.73170731707317,0.291046995835812,1.2122248661511004,16.146341463414632,23.59588786436645,374.7012195121951,5.560975609756097,2292.018292682927,0.11991381108613348,0.022611406685797,0.4730928184281842,161.2144596883469,0.006482043597498399,12.974466323150533,0.09159769807367535,24.232629047204846,368.3489924549135,1.6394522144522143,631.9019529812293,0.04016718993220966,0.021773224915275988,4.314150288972545,112.1428797080113,0.7810529670427451,0.8643292682926829,0.26162602298467125,0.9007883887641877,327.36195885359416,0.019634711945867037,6.844444444444444,0.07604938271604939,25.245555555555555,345.65555555555557,7.288888888888889,2972.5,0.12159899416931243,0.016657294614595503,42.6,0.47333333333333333,0.714173615047871,234.99254377676993,0.005807055938246583,5.031387158593837,0.5487804878048781,3.968395061728395,0.034949384960525555,0.04862996991338316,424.36199219675774,0.13222332328303002,17.699953328378076,0.7404046304806418,0.0,0.0,16.84548759039454,16.0,12.0,16.278820596099706,16.278820596099706,12.472477014632306,0.41482127209183595,349.28961290844813,2.129814712856391,164.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217,1
7,"(92.0, 265.2105263157895, 99.0)",False,-522.0,-137.60000000000002,2365639.0,3.6818808028034136,242.5,4.016263777531833,-109.0,-303.8421052631579,140.2049861495845,-270.0,-810.0,701.0,94.66666666666667,352.85594197841374,-1.2397082615017432,2365639.0,0.0858725761772853,32187.290858725763,516.4642857142857,46808.314815537866,-1322.0211235287757,107.92531179138321,53.839285714285715,0.3746872850127885,5.44047619047619,2.9076406894793614,21.725056689342402,0.3041713677404466,0.22408000061821787,0.9463215623503314,0.8577559963682135,-0.6743675769448594,0.9950995592343762,0.22174873982530988,22.425595238095237,0.044075963718820874,4.559253949484609,0.07738095238095238,44.85119047619047,3.4283015685322336,40.44114937641723,3.6818808028033985,8.894736842105264,0.46814404432132967,0.5650969529085872,1.631578947368421,51.77285318559557,503.89473684210526,2.8947368421052633,1825.157894736842,0.05793945611047494,0.05515147894526682,0.7017543859649124,301.4736842105263,0.05469514116492668,1.4493464052287583,0.08162458883335469,53.19381968473664,490.4885620915033,1.2132352941176472,638.15522875817,0.05928301991680903,0.0589658293764543,3.802223605563612,15.450980392156861,0.869393182109445,0.9342105263157895,0.06530340894527745,0.9466911764705882,453.5718954248366,0.05888653174136563,1.1333333333333333,0.07555555555555556,56.53333333333334,456.53333333333336,1.9333333333333333,1098.9333333333334,0.07085278696320589,0.06945286598856952,9.933333333333334,0.6622222222222223,0.8407407407407407,349.93333333333334,0.069204496271761,3.773557262275181,0.7894736842105263,0.3288888888888889,0.024241357863035228,0.17960230917254646,541.9163137009191,2.158948938508641,43.67034090079568,0.8866702941490235,0.0,0.0,5.1910854761844005,4.0,4.0,4.47213595499958,4.47213595499958,4.602781286121147,0.7830525768000864,43.973962536829156,2.314419080885745,19.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217,1
8,"(103.47460317460317, 214.5063492063492, 97.44761904761904)",True,-298.4,2086.1,1029525694.0,6.772948900391303,1652.0,1.6423220937872853,2381.0,900.2666666666667,813.1873015873016,910.0,-773.0,3154.0,677.0654761904761,1278.345715467443,-0.059778152456937114,1029525694.0,0.01010330057949106,823687.6971428571,6359.048217431908,28071449.126552563,-71593.05368659653,3816.4558847466824,1020.6832357938091,0.5758590149942701,24.26447630176539,5.792006112156431,396.65427392142766,0.11349487670211776,0.0562856303351844,0.9465528746768807,0.8541474207333936,-0.5356763480784595,0.9996131162957587,0.05987195337840819,75.22177966634882,0.0011797960866568437,9.797117312666172,0.0035991064420132645,150.4435593326975,7.374507277541321,1209.2847801351222,7.438781439386137,350.4507936507936,0.5562711010330058,0.4849181153943059,6.365079365079365,1318.1255454774505,5877.804761904762,2.4095238095238094,19729.163492063493,0.006636915444515189,0.004457488988692715,0.7735092592592593,3821.8180736331565,0.004022842707603472,6.246829537513619,0.010065234041491141,1311.1299429366945,5822.262569751974,1.0459349051438036,6260.945244562754,0.004577382130559223,0.004499358254792297,6.833039554812832,602.3944136481741,0.9704492304256976,0.9851037851037852,0.015141471174594192,0.9886584868346318,5714.57207654027,0.004479862499375455,5.14176245210728,0.00985011964005226,1210.7100013211787,5169.578544061303,1.8160919540229885,13135.798850574713,0.00622568956044908,0.005013654646670906,392.96934865900386,0.7528148441743369,0.8893215197956577,4216.021338867604,0.004772543228193161,7.1954924529892805,0.8285714285714286,0.35949266745937375,0.012177008733582548,0.010248868949994872,96375.88127640725,2.5799847576257204,68.98168532636838,0.8711823702921699,0.7839320276817305,8.501162523991772,10.844259736563753,11.704699910719626,10.295630140987,11.704699910719626,12.36931687685298,9.447327901363552,0.8962230268824766,396.547356690855,0.6294402487156429,630.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217,1
9,"(118.0, 296.125, 155.875)",False,-749.2,-431.9,3295552.0,2.5000000000000115,204.5,1.6807765384352054,-427.0,-628.5,117.375,-687.0,-773.0,346.0,95.66666666666667,641.8286375661341,0.5594418431552003,3295552.0,0.1875,16931.749999999996,44.02083333333333,7348.274848553239,297.09862268518515,57.81576388888889,30.054166666666667,0.3265719756715654,4.470833333333333,1.957204672623969,4.860763888888889,0.2777777777777778,0.1811063428323995,0.8854011527434542,0.7793724191708443,-0.8508694972284,0.9917577935756409,0.21502275884814442,6.072916666666667,0.1379166666666667,2.9072046726239678,0.14791666666666667,12.145833333333332,1.957204672623969,21.96748263888889,2.499999999999998,5.0,0.625,0.1875,1.5,25.4375,64.5,1.75,211.5,0.21303413958175865,0.20920760896951374,0.8125,27.75,0.20825097631645254,1.4464285714285714,0.18654336734693877,23.894451530612244,59.80357142857143,1.1071428571428572,80.80357142857143,0.21704374077673397,0.21649709354641328,2.5054101590858275,7.321428571428571,0.9387755102040816,0.96875,0.030612244897959183,0.9732142857142857,54.55357142857143,0.2163604317388331,1.2857142857142858,0.1836734693877551,19.26530612244898,45.714285714285715,1.4285714285714286,129.71428571428572,0.24055213619839472,0.23836554727711193,5.285714285714286,0.7551020408163265,0.8928571428571429,24.714285714285715,0.2378189000467912,2.5216406363433164,0.875,0.12244897959183673,0.12585034013605442,0.2063882063882064,123.53650793650792,5.054693700396825,23.317024463305042,0.7905694150420949,0.0,0.0,3.4641016151377544,2.0,2.0,2.8284271247461903,2.8284271247461903,2.7386127875258306,1.0208196994615868,18.949382989376314,2.3686728736720393,8.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217,1
10,"(137.0, 267.66279069767444, 305.5813953488372)",False,110.0,193.5,2082029.0,2.5396330866510937,43.25,3.3652057931991406,241.0,151.56976744186048,27.65954570037859,156.0,45.0,196.0,19.135475740390675,155.59447141490512,-0.36920544395770577,2082029.0,0.20200108166576525,1236.2451325040565,31.56687007373506,51.19950059646767,-2.647662052870706,3.875587157381693,3.2414505466564965,0.08844613587672785,1.4030638189677092,1.964262095642708,1.2472257794539594,0.5158621947380528,0.4629408862044479,0.9646206676548733,0.8744114850951235,-0.14879990706238316,0.7136537552967603,0.500903684899144,5.604293796084415,0.056450633157955836,4.508701958390462,0.09919272819730485,11.208587592168827,2.854146208883811,1.7792594260095476,4.212651716450412,22.232558139534884,0.2585181179015684,1.2011898323418064,17.372093023255815,2.060573282855598,32.95348837209303,6.395348837209302,212.88372093023256,0.23885036174245752,0.05137663000169921,0.4191505167958656,13.172994186046513,0.031064793757727038,13.963468028620673,0.19344240775984126,2.2434630904811863,32.8059015816648,1.7079584600061144,56.333375373695546,0.08001052666472232,0.05466324572570247,3.1842144262886736,53.523420901510995,0.7332184142271512,0.8401162790697674,0.2623314835637992,0.8775303929854377,28.65847696316879,0.05047248373573196,6.853658536585366,0.16716240333135038,2.94824509220702,31.21951219512195,9.609756097560975,351.3658536585366,0.33532029862532187,0.07030346465596174,19.0,0.4634146341463415,0.7053912741606756,21.66127270487581,0.05903643989539421,4.021676396492054,0.47674418604651164,5.209994051160024,0.29263626182180186,0.06399829904853027,36.48850913405782,0.06616140267972812,1.6366799179855323,0.8421454249431192,0.0,0.0,11.410540694861055,9.0,9.0,11.40175425099138,11.40175425099138,9.609334642304518,0.5066510628642045,185.96910483275917,2.162431451543711,86.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217,1
11,"(139.32, 267.53714285714284, 306.19428571428574)",False,-81.99999999999982,238.99999999999997,10556580.0,3.579343733569079,76.0,10.962857056313462,308.0,116.96,128.66971428571432,187.0,-797.0,1105.0,38.78256819005228,245.608050124002,-2.8930144826686317,10556580.0,0.12986122448979592,46643.672685714286,1551.2313785079702,174927.75782582242,-3079.61340144671,77.03253335346709,16.44074846948299,0.4104028235802819,2.448520283698927,2.613007854950775,9.600252524599515,0.4488615152471498,0.38028754562605993,0.9926933878439222,0.9519748248683378,-0.26426143174986366,0.8800192604315533,0.3901079766791989,39.17995425279416,0.036373753891750106,5.275956349127084,0.07910734134169271,78.35990850558834,3.510906376137539,23.36832045573751,5.521199367190939,32.2,0.184,4.648163265306122,22.725714285714286,74.50142040816327,1459.6171428571429,13.994285714285715,22491.994285714285,0.06210750266389055,0.019789464156698137,0.37975337912505513,478.7510161562915,0.01082724148273091,19.529653397207383,0.1207961663986729,79.40742278223766,1445.9542510889992,1.3093452955878315,1945.3352422881833,0.022743268416127616,0.021013243060115032,3.996930046059222,139.30181717396994,0.8594470229647786,0.9208791208791209,0.11425813002816369,0.9404891768497433,1350.2929352652,0.02059164683332814,4.589041095890411,0.06286357665603302,130.843310189529,1270.13698630137,31.027397260273972,50465.520547945205,0.09230476472799086,0.03286746314101391,38.945205479452056,0.533495965471946,0.757238966773327,911.4605893716607,0.022432597684163096,5.239357737164191,0.41714285714285715,25.280540439106776,0.01606529054404265,0.03850494584939524,1225.2594770685735,0.3606043433039831,61.90132553178597,0.7420869446255429,0.13518697855590545,1.7995988008052912,13.311924121901148,11.045361017187261,12.0,14.212670403551895,14.212670403551895,9.878605098708688,0.5544331349510908,272.89378577421115,1.559393061566921,175.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217,1
12,"(146.2235294117647, 253.47058823529412, 307.0235294117647)",False,-783.2,249.4000000000001,12525945.0,4.395876861101094,287.0,4.160866138838707,295.0,-27.8,296.11294117647054,155.0,-1037.0,1332.0,167.84361773223432,383.8802662595844,-1.5908358928030664,12525945.0,0.06519031141868512,146591.21882352946,2240.8139082175235,853859.5454442948,-11484.92992378533,253.97297713898527,67.47700458869748,0.2236599685957428,4.766560423132628,2.702201048282888,41.00223735430014,0.3553047253743006,0.2773694209883198,0.9807848707958381,0.928243048231968,-0.6023594325088099,0.9915664405123104,0.2997511185214805,46.760783619594164,0.042885865856701656,4.91933202606447,0.06899472365647588,93.52156723918833,3.5450727169029808,80.3624954319207,5.32540310687395,27.470588235294116,0.3231833910034602,1.1141868512110726,5.541176470588235,235.3669204152249,1948.3529411764705,4.882352941176471,11520.494117647058,0.045558611087658164,0.022031475904013997,0.5556176470588235,908.7343169934641,0.016355090788589616,5.201728171600466,0.0634239204314963,238.31593514382166,1929.9271046338072,1.1248849221544786,2233.7949860257995,0.02353969902891978,0.022565997783562105,4.554189491743359,76.69477324180248,0.9341120422363688,0.9638009049773757,0.043984450264230264,0.9732479844569112,1865.5957793425066,0.022324295725140438,2.2452830188679247,0.04236383054467782,262.0242079031684,1688.867924528302,4.018867924528302,9041.169811320755,0.04805506905603879,0.029213174849579394,31.037735849056602,0.5856176575293699,0.7847589098532494,1212.6275995807127,0.02471728710609378,5.2608471054657615,0.6235294117647059,1.4467782128871485,0.009356099770777487,0.06359894582310857,3067.0408797569667,2.081316188585891,102.45532702141057,0.6939288067031482,0.11912952356397971,1.3456659199338568,11.295822225051989,8.0,11.045361017187261,10.04987562112089,11.224972160321824,7.8384964373612265,0.5673483152378104,164.78346802158467,1.9386290355480549,85.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217,1
13,"(194.49382716049382, 306.65432098765433, 276.6111111111111)",False,-462.0999999999999,471.70000000000005,22510488.0,5.419554132975305,434.5,3.3078399083355388,864.0,70.53086419753086,282.30178326474623,142.5,-928.0,1792.0,179.7216796875,372.7648449487017,-0.8068223159255528,22510488.0,0.028349336991312295,133979.0268251791,2059.372181919662,834618.4232773981,-8787.081081596112,412.61009789120504,162.56655992168186,0.406341532041259,9.001285418748333,4.259374314761025,80.02539902386913,0.21112381568273275,0.1267998345657261,0.9735522949058502,0.8993975119054239,-0.5650250287963366,0.9982693229601034,0.1364075348253215,44.64943896946764,0.007147006388387944,7.250090325090827,0.01926080461532216,89.2988779389353,5.427102027844651,143.79416445322178,6.169795218800433,68.93827160493827,0.42554488645023625,0.7794543514708123,4.592592592592593,213.35802469135803,1921.8024691358025,3.3950617283950617,7214.679012345679,0.010522857678101766,0.008779576765584296,0.6527143347050753,1145.7670301783264,0.008466359358257866,4.426116474293918,0.027984759307689296,215.7602564717054,1914.076566299466,1.078393279914163,2089.242947460227,0.00903606802126231,0.008974919602254928,5.504203272402335,151.26253404431833,0.9561706862624587,0.9762583095916427,0.028658740256380863,0.9828900099215361,1875.8035318875443,0.008960790969909906,2.8823529411764706,0.02422145328719723,243.32561259798038,1803.90756302521,2.53781512605042,5277.310924369748,0.012772174564726601,0.011646993282531192,73.4201680672269,0.6169762022456041,0.8128361344537816,1391.0995074696546,0.011456062922053159,6.062720704411668,0.7345679012345679,0.684556175411341,0.008875214622219433,0.04702317456295903,8095.087659116357,0.8444214218002677,66.71152272812762,0.9615530304485767,0.37217558551374746,3.4061531365598334,9.152005851909962,9.219544457292887,11.0,11.045361017187261,11.045361017187261,8.800138961587132,0.6710945861456844,214.14621311500315,1.3218902044135996,162.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217,1
